name_en_gb,tag,desk_name,bucket_by_tag,bucket_by_desk,institutional,programs_all_years,pax_all_years
Art Excel,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,2770,80595
Utkarsha Yoga,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1413,22490
PrajÃ±Ä Yoga(Seniors) for 8-18 yrs,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1349,16140
IP Kids or Teens Vacation Program M2,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1287,9722
Medha Yoga Level 1,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1164,19016
Online Utkarsha Yoga,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1142,12443
Online Medha Yoga Level 1,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1115,10918
Intuition Process Senior,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1079,9162
IP Kids or Teens Module 2,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,849,4384
IP Kids or Teens Module 3,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,829,4322
IP Kids Vacation Program M1,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,697,5945
IP Teens Vacation Program M1,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,591,3669
Intuition Process Junior,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,587,2391
PrajÃ±Ä Yoga(Juniors) for 5-8 yrs,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,529,2775
IP Senior Repeaters and Upgrade,IP repeaters,Children and Teens Desk,C&T Programs,C&T Programs,False,514,1681
IP Kids Module 1,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,488,2885
Govt. School MY1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,475,50107
IP Junior Vacation Program,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,470,1975
Online Know Your Child,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,False,390,3851
School Medha Yoga Level 1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,378,34852
IP Teens Module 1,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,371,1520
IP Junior Module 1,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,334,1392
IP Junior Module 2,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,327,1362
KYC,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,False,288,8005
Online Know Your Teen,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,False,238,1879
IP2,C&T-PY2-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,233,2621
School Utkarsha Yoga,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,230,21434
Govt. School UY,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,213,18039
Medha Yoga Level 2,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,149,4260
IP Junior Repeaters,IP repeaters,Children and Teens Desk,C&T Programs,C&T Programs,False,139,241
Medha Yoga Level 1,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,106,9656
Yes! 2,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,99,6706
Utkarsha Yoga,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,92,7063
KYT,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,False,88,2045
Online Medha Yoga Level 2,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,False,52,1253
IP Kids or Teens School Vacation M2,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,43,1376
KYC & KYT TTC,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,False,36,1754
IP Kids n Teens - Blind,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,True,33,1216
IP Kids n Teens - Blind,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,False,29,1166
Online Utkarsh Yoga Upgrade,UY_MY Upgrade,Children and Teens Desk,C&T Programs,C&T Programs,False,28,292
