tag,name_en_gb
HP,3 Days Part I Course
HP,Part I Course
HP,Happiness Program
HP,Happiness Program (3 Days)
HP,Happiness Program For Youth
HP,Happiness Program for Youth-3 Days
HP,Online Meditation and Breath Workshop
HP,Online Meditation and Breath Workshop for Youth
HP,Happiness Program for Slums
HP,TAOL Yoga and Meditation Program for Educators
HP,PEP
HP,Online TAOL Yoga & Meditation Program for Educators
HP,Happiness Connect
HP,Happiness for Youth
Institutional,Online SELP
Institutional,SELP
Institutional,YES!+
Institutional,3 Days YES!+
Institutional,Online Yes+
Institutional,YES+ UTSAV
Sahaj,Sahaj Samadhi Dhyana Yoga
Sahaj,Online Sahaj Samadhi Dhyana Yoga
Sahaj,Sahaj Samadhi Meditation
Sahaj,Sahaj
Sahaj,Sahaj Samadhi Dhyana Yoga 1on1
Sahaj,Online Sahaj Samadhi Dhyana Yoga 1on1
AMP,Online Part2
AMP,Part 2
AMP,Rural Part2
AMP,Online Part2 3days
AMP,Online Part2 4days
AMP,Online 3days AMP
AMP,Online 4days AMP
AMP,Rural AMP
AMP,AMP 4 Days
AMP,AMP - Rural
AMP,AMP BusyBee
AMP,AMP 5 Days
AMP,AMP 10 Days
AMP,AMP 7 Days
AMP,AMP Intensive
AMP,AMP - 4 Days
AMP,AMP Intensive
AMP,Online Part2 BusyBee
AMP,Online HAMP
DSN,DSN
DSN,Special DSN
DSN,YES!+ DSN
DSN,Rural DSN
YLTP,YLTP
YLTP,WLTP
YLTP,Online YLTP Program
YLTP,OWLTP
YLTP,Online Rural Happiness Program
YLTP,Rural Part 1
YLTP,Rural Happiness Program
TTP,Intuition Process - TTP
TTP,Rural Teachers Training Program
TTP,TTP Karmayoga
TTP,TTP Rural UYMY
TTP,YLTP TTC
TTP,Prajñā Yoga TTP
TTP,Teachers Training Program
TTP,TTP Happiness
TTP,TTP MEDHAYOGA
VTP,Online Rural VTP
VTP,Online VTP
VTP,Rural VTP
VTP,VTP
Wellness,Online Wellness Program
Wellness,Online Women Wellness Program
Wellness,Wellness Program
Wellness,Wellness Program for Substance Users
Wellness,Wellness Program TTP
Wellness,Wellness Program for Tobacco Cessation
Wellness,Online Wellness Program for Substance Users
Wellness,Online Women Wellness Module (Only for wellness program graduates)
